Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-12-08,277.3747,489.9018,185.54,312.2014,862.1527,53.597,200.5538,321.1235,226.89,308.069,115.2121,147.2694,593.9768,191.0415,24.2978
2025-12-09,276.666,490.8995,184.96,297.6417,871.9909,53.239,198.9026,321.1036,227.92,309.0635,117.467,147.0515,591.8458,189.2305,23.975
2025-12-10,278.263,477.4702,183.7701,307.1501,884.5847,53.776,205.4478,325.8368,231.78,308.8049,118.7485,149.9432,612.7471,191.1112,23.8577
2025-12-11,277.5144,482.369,180.9202,314.3507,906.2606,54.2533,208.8995,334.1324,230.28,307.9895,118.7485,149.2599,622.9637,192.8923,23.7696
2025-12-12,277.7639,477.4403,175.0105,315.4798,883.3114,54.83,210.4612,339.2029,226.19,314.9605,118.0333,148.537,595.3609,192.7033,24.0435
2025-12-15,273.6017,473.7387,176.2805,316.9655,884.9328,55.019,213.0375,338.4686,222.54,316.9594,116.9803,148.3488,587.2653,196.4746,23.7794
2025-12-16,274.1007,475.3051,177.7104,312.5382,874.5475,54.5019,208.1932,331.6219,222.56,312.7529,113.9207,145.3283,586.4388,197.2806,23.5447
2025-12-17,271.3359,475.0357,170.9307,311.9736,867.7632,54.2434,209.2178,329.0717,221.27,316.9196,116.6326,148.0715,559.5132,198.9025,23.8283
2025-12-18,271.6852,482.8778,174.1306,310.0125,871.7124,53.955,207.2085,325.6086,226.76,317.8743,115.7684,146.2592,563.4365,197.1014,23.7305
2025-12-19,273.1625,484.8134,180.9802,314.1823,888.8025,54.9593,205.2787,324.8942,227.35,314.0854,115.9174,146.3187,573.7826,198.1264,23.6229
2025-12-22,270.4675,483.8157,183.6801,320.0062,894.2936,55.5659,206.2237,322.6516,228.43,314.4633,117.3677,148.3488,579.9464,194.9919,23.7696
2025-12-23,271.8549,485.7413,189.1998,322.8191,896.9894,55.6554,204.6918,322.2944,232.14,309.1132,118.6293,149.0519,579.9564,194.5342,23.9261
2025-12-24,273.3022,486.9086,188.5998,326.0282,906.0119,55.9338,206.6813,325.0529,232.38,311.5894,118.4306,149.042,581.2907,195.9571,24.1218
2025-12-26,272.893,486.5993,190.5197,324.7802,902.2915,55.8542,206.5321,329.2702,232.52,308.9541,118.3213,148.5667,580.5339,196.3949,24.112
2025-12-29,273.2523,485.9907,188.2098,320.6599,887.5093,55.0389,206.4624,326.4024,232.07,306.816,119.7319,149.5273,576.1625,196.1163,24.2294
2025-12-30,272.5736,486.3699,187.5299,320.3331,879.7899,54.9693,205.8159,329.5976,232.53,306.3188,120.1889,150.8345,574.9476,195.3899,24.2685
2025-12-31,271.3558,482.5187,186.4899,319.1445,874.3983,54.6908,205.8557,327.5634,230.82,303.9322,119.5432,150.9335,570.4467,194.1262,24.2978
2026-01-02,270.5074,471.863,188.8398,322.3734,909.5533,55.6355,206.2535,333.8049,226.5,301.5753,121.8379,154.3897,595.8787,194.9123,24.024
2026-01-05,266.7644,471.7732,188.1098,330.8517,943.4747,56.5702,203.2296,339.3815,233.06,298.1942,124.53,162.2627,613.4939,200.0966,24.1707
2026-01-06,261.8735,477.4203,187.2299,332.9112,950.4679,56.9282,203.7071,346.2779,240.93,301.088,120.2485,155.0235,620.4543,203.9276,23.8088
2026-01-07,259.8472,482.369,189.0998,325.3299,936.0936,55.3272,206.3928,339.064,241.56,302.4703,117.7054,153.6965,593.9967,198.5244,23.4468
2026-01-08,258.5596,477.0212,185.03,328.1157,929.936,55.8642,204.662,344.1743,246.29,307.1641,122.0962,157.7072,605.5576,204.2261,23.6425
